firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,KTOS,2026-03-24,34201.872318939,bid,13,82.0,6.24,6.24,6.24,6.24,5.2,5.72,5.2,3.25,-9.88,-10.53,-8.45,-10.14,6.695,-13.91
UBSS,KTOS,2026-03-24,56963.022331599,bid,15,77.75,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.875,1.65,-1.05,0.9,2.85
UBSS,KTOS,2026-03-25,34200.822236713,ask,43,80.0,0.0,0.0,0.0,0.0,-7.74,0.0,3.44,-2.15,-30.1,1.72,1.72,15.91,73.96,56.76
UBSS,KTOS,2026-03-25,34200.822236713,ask,1,80.18,0.18,0.18,0.18,0.18,0.0,0.18,0.26,0.13,-0.52,0.22,0.22,0.55,1.9,1.5
UBSS,KTOS,2026-03-26,57465.731985239,bid,5,75.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,-0.2,0.1,-1.45,3.2
UBSS,KTOS,2026-03-27,57218.436468843,bid,1,71.84,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.18,0.185,0.1,0.005,0.05,0.34
STFL,TALO,2026-03-04,34781.234255056,bid,100,12.9,1.5,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,-8.0,-11.0,6.0
STFL,TALO,2026-03-04,34781.23429162,bid,100,12.9,1.5,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,-8.0,-11.0,6.0
STFL,TALO,2026-03-04,34781.234316396,bid,100,12.9,1.5,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,-8.0,-11.0,6.0
STFL,TALO,2026-03-04,34781.234360515,bid,100,12.9,1.5,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,-8.0,-11.0,6.0
STFL,TALO,2026-03-04,34783.017374632,bid,100,12.9,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,-8.0,-13.0,6.0
STFL,TALO,2026-03-04,34783.017388047,bid,100,12.9,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,-8.0,-13.0,6.0
STFL,TALO,2026-03-04,34820.930693462,bid,100,12.9,-2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-8.0,-8.0,-13.0,6.0
STFL,TALO,2026-03-04,34820.930713749,bid,100,12.9,-2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-8.0,-8.0,-13.0,6.0
STFL,TALO,2026-03-04,34820.930734866,bid,100,12.9,-2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-8.0,-8.0,-13.0,6.0
STFL,TALO,2026-03-04,34820.930786365,bid,63,12.9,-1.26,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-5.04,-5.04,-8.19,3.78
STFL,TALO,2026-03-04,34820.930812549,bid,63,12.9,-1.26,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-5.04,-5.04,-8.19,3.78
STFL,TALO,2026-03-04,34820.930828876,bid,63,12.9,-1.26,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-3.15,-5.04,-5.04,-8.19,3.78
STFL,TALO,2026-03-04,34820.930923024,bid,3,12.9,-0.06,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.24,-0.24,-0.39,0.18
STFL,TALO,2026-03-04,34942.432643552,ask,100,12.770000000000001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-18.0
STFL,TALO,2026-03-04,34942.433067699,ask,100,12.770000000000001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-18.0
STFL,TALO,2026-03-04,34942.43309911,ask,100,12.770000000000001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-18.0
STFL,TALO,2026-03-04,34942.433143158,ask,100,12.770000000000001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-18.0
STFL,TALO,2026-03-04,34942.433184116,ask,1,12.770000000000001,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.18
STFL,TALO,2026-03-04,35379.461790516,ask,100,12.72,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-24.0
STFL,TALO,2026-03-04,35379.462282278,ask,100,12.72,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-24.0
STFL,TALO,2026-03-04,35379.462772034,ask,100,12.72,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-24.0
STFL,TALO,2026-03-04,35379.470982747,ask,100,12.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-3.0,-3.0,-3.0,-24.0
STFL,TALO,2026-03-04,35379.471410863,ask,11,12.72,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.22,-0.33,-0.33,-0.33,-2.64
