firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,AVAV,2026-03-10,56748.076444676,bid,5,221.0,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,13.5,13.5,13.3,10.975,-105.8
UBSS,AVAV,2026-03-10,56881.692174056,ask,135,223.4,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,40.5,82.35,94.5,2779.65
UBSS,AVAV,2026-03-10,56989.181284754,bid,10,222.22,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7.7,7.7,10.7,9.75,2.65,-187.2
UBSS,AVAV,2026-03-10,57359.0733163,bid,50,222.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,12.0,12.0,20.0,20.5,52.5,-923.5
UBSS,AVAV,2026-03-10,57383.560167282,bid,8,221.9,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.0,4.64,4.08,0.96,7.2,-147.68
UBSS,AVAV,2026-03-11,56752.0193979,bid,8,206.0,12.08,12.08,12.08,12.08,12.08,12.08,12.08,12.4,11.28,11.92,10.16,13.04,5.84,10.0
UBSS,AVAV,2026-03-11,56752.019636419,bid,5,207.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.75,2.05,2.45,1.35,3.15,-1.35,1.25
UBSS,AVAV,2026-03-11,56894.010146792,bid,12,207.14000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.84,-1.44,-7.68,3.36
UBSS,AVAV,2026-03-12,56754.01770101,bid,15,213.0,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.825,5.85,5.85,1.95,3.225,-2.7,-11.1
UBSS,AVAV,2026-03-13,34200.201846597,ask,10,220.0,55.1,55.1,55.1,55.1,55.1,55.1,55.1,55.1,30.1,30.1,11.1,11.5,18.1,21.6
UBSS,AVAV,2026-03-13,34200.201846597,ask,1,220.0,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,3.01,3.01,1.11,1.15,1.81,2.16
UBSS,AVAV,2026-03-13,34200.201846597,ask,1,220.0,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,3.01,3.01,1.11,1.15,1.81,2.16
UBSS,AVAV,2026-03-13,56754.058346255,bid,50,207.0,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,12.5,5.5,19.0,22.0
