date,firm,minute_bin,n_orders,total_size
2025-10-01,MAXM,647,32,3200
2025-10-01,MAXM,648,7,700
2025-10-01,MAXM,649,24,2400
2025-10-01,MAXM,650,3,300
2025-10-01,MAXM,651,28,2800
2025-10-01,MAXM,652,9,900
2025-10-01,MAXM,653,21,2100
2025-10-01,MAXM,654,13,1300
2025-10-01,MAXM,655,4,400
2025-10-01,MAXM,656,5,500
2025-10-01,MAXM,657,35,3500
2025-10-01,MAXM,658,16,1600
2025-10-01,MAXM,659,64,6400
2025-10-01,MAXM,660,25,2500
2025-10-01,MAXM,661,39,3900
2025-10-01,MAXM,662,17,1700
2025-10-01,MAXM,663,33,3300
2025-10-01,MAXM,664,45,4500
2025-10-01,MAXM,665,39,3900
2025-10-01,MAXM,666,25,2500
2025-10-01,MAXM,667,31,3100
2025-10-01,MAXM,668,35,3500
2025-10-01,MAXM,669,104,10400
2025-10-01,MAXM,670,21,2100
2025-10-01,MAXM,671,25,2500
2025-10-01,MAXM,672,9,900
2025-10-01,MAXM,673,10,1000
2025-10-01,MAXM,674,36,3600
2025-10-01,MAXM,675,1,100
2025-10-01,MAXM,676,14,1400
2025-10-01,MAXM,677,42,4200
2025-10-01,MAXM,678,20,2000
2025-10-01,MAXM,679,25,2500
2025-10-01,MAXM,680,14,1400
2025-10-01,MAXM,681,12,1200
2025-10-01,MAXM,682,43,4300
2025-10-01,MAXM,683,12,1200
2025-10-01,MAXM,684,23,2300
2025-10-01,MAXM,685,15,1500
2025-10-01,MAXM,686,22,2200
2025-10-01,MAXM,687,31,3100
2025-10-01,MAXM,688,16,1600
2025-10-01,MAXM,689,13,1300
2025-10-01,MAXM,690,11,1100
2025-10-01,MAXM,691,25,2500
2025-10-01,MAXM,692,27,2700
2025-10-01,MAXM,693,10,1000
2025-10-01,MAXM,694,38,3800
2025-10-01,MAXM,695,13,1300
2025-10-01,MAXM,696,40,4000
2025-10-01,MAXM,697,6,600
2025-10-01,MAXM,699,7,700
2025-10-01,MAXM,700,58,5800
2025-10-01,MAXM,701,7,700
2025-10-01,MAXM,702,14,1400
2025-10-01,MAXM,703,12,1200
2025-10-01,MAXM,704,6,600
2025-10-01,MAXM,705,17,1700
2025-10-01,MAXM,706,33,3300
2025-10-01,MAXM,707,23,2300
2025-10-01,MAXM,708,18,1800
2025-10-01,MAXM,709,18,1800
2025-10-01,MAXM,710,23,2300
2025-10-01,MAXM,711,33,3300
2025-10-01,MAXM,712,25,2500
2025-10-01,MAXM,713,27,2700
2025-10-01,MAXM,714,26,2600
2025-10-01,MAXM,715,24,2400
2025-10-01,MAXM,716,27,2700
2025-10-01,MAXM,717,57,5700
2025-10-01,MAXM,718,51,5100
2025-10-01,MAXM,719,28,2800
2025-10-01,MAXM,720,22,2200
2025-10-01,MAXM,721,66,6600
2025-10-01,MAXM,722,20,2000
2025-10-01,MAXM,723,37,3700
2025-10-01,MAXM,724,14,1400
2025-10-01,MAXM,725,24,2400
2025-10-01,MAXM,726,26,2600
2025-10-01,MAXM,727,52,5200
2025-10-01,MAXM,728,49,4900
2025-10-01,MAXM,729,55,5500
2025-10-01,MAXM,730,31,3100
2025-10-01,MAXM,731,19,1900
2025-10-01,MAXM,732,31,3100
2025-10-01,MAXM,733,39,3900
2025-10-01,MAXM,734,51,5100
2025-10-01,MAXM,735,63,6300
2025-10-01,MAXM,736,23,2300
2025-10-01,MAXM,737,14,1400
2025-10-01,MAXM,738,7,700
2025-10-01,MAXM,739,34,3400
2025-10-01,MAXM,740,40,4000
2025-10-01,MAXM,741,9,900
2025-10-01,MAXM,742,45,4500
2025-10-01,MAXM,743,58,5800
2025-10-01,MAXM,744,66,6600
2025-10-01,MAXM,745,83,8300
2025-10-01,MAXM,746,43,4300
2025-10-01,MAXM,747,71,7100
2025-10-01,MAXM,748,42,4200
2025-10-01,MAXM,749,58,5800
2025-10-01,MAXM,750,60,6000
2025-10-01,MAXM,751,33,3300
2025-10-01,MAXM,752,34,3400
2025-10-01,MAXM,753,39,3900
2025-10-01,MAXM,754,25,2500
2025-10-01,MAXM,755,34,3400
2025-10-01,MAXM,756,14,1400
2025-10-01,MAXM,757,7,700
2025-10-01,MAXM,758,26,2600
2025-10-01,MAXM,759,31,3100
2025-10-01,MAXM,760,21,2100
2025-10-01,MAXM,761,30,3000
2025-10-01,MAXM,762,7,700
2025-10-01,MAXM,763,7,700
2025-10-01,MAXM,764,9,900
2025-10-01,MAXM,765,9,900
2025-10-01,MAXM,766,6,600
2025-10-01,MAXM,767,50,5000
2025-10-01,MAXM,768,50,5000
2025-10-01,MAXM,769,35,3500
2025-10-01,MAXM,770,7,700
2025-10-01,MAXM,771,14,1400
2025-10-01,MAXM,772,99,9900
2025-10-01,MAXM,773,48,4800
2025-10-01,MAXM,774,16,1600
2025-10-01,MAXM,775,25,2500
2025-10-01,MAXM,776,52,5200
2025-10-01,MAXM,777,28,2800
2025-10-01,MAXM,778,2,200
2025-10-01,MAXM,779,3,300
2025-10-01,MAXM,780,12,1200
2025-10-01,MAXM,781,9,900
2025-10-01,MAXM,782,16,1600
2025-10-01,MAXM,783,19,1900
2025-10-01,MAXM,784,8,800
2025-10-01,MAXM,785,2,200
2025-10-01,MAXM,787,12,1200
2025-10-01,MAXM,788,23,2300
2025-10-01,MAXM,789,11,1100
2025-10-01,MAXM,790,46,4600
2025-10-01,MAXM,791,15,1500
2025-10-01,MAXM,792,20,2000
2025-10-01,MAXM,793,52,5200
2025-10-01,MAXM,794,25,2500
2025-10-01,MAXM,795,10,1000
2025-10-01,MAXM,796,2,200
2025-10-01,MAXM,797,28,2800
2025-10-01,MAXM,798,15,1500
2025-10-01,MAXM,799,6,600
2025-10-01,MAXM,800,6,600
2025-10-01,MAXM,801,6,600
2025-10-01,MAXM,802,37,3700
2025-10-01,MAXM,803,16,1600
2025-10-01,MAXM,804,9,900
2025-10-01,MAXM,805,10,1000
2025-10-01,MAXM,806,30,3000
2025-10-01,MAXM,808,14,1400
2025-10-01,MAXM,809,27,2700
2025-10-01,MAXM,810,32,3200
2025-10-01,MAXM,811,32,3200
2025-10-01,MAXM,812,24,2400
2025-10-01,MAXM,813,29,2900
2025-10-01,MAXM,814,55,5500
2025-10-01,MAXM,815,54,5400
2025-10-01,MAXM,816,33,3300
2025-10-01,MAXM,817,107,10700
2025-10-01,MAXM,818,58,5800
2025-10-01,MAXM,819,12,1200
2025-10-01,MAXM,820,49,4900
2025-10-01,MAXM,821,53,5300
2025-10-01,MAXM,822,53,5300
2025-10-01,MAXM,823,67,6700
2025-10-01,MAXM,824,38,3800
2025-10-01,MAXM,825,11,1100
2025-10-01,MAXM,826,19,1900
2025-10-01,MAXM,827,25,2500
2025-10-01,MAXM,828,4,400
2025-10-01,MAXM,829,13,1300
2025-10-01,MAXM,830,9,900
2025-10-01,MAXM,831,9,900
2025-10-01,MAXM,832,9,900
2025-10-01,MAXM,833,5,500
2025-10-01,MAXM,834,13,1300
2025-10-01,MAXM,835,12,1200
2025-10-01,MAXM,836,21,2100
2025-10-01,MAXM,837,9,900
